"RefDes";"Name";"Value";"Quantity"
"ARD1";"ATMEGA328_PDIP28";"";"1"
"C1";"DiskCAP";"2200pf";"1"
"C2";"DiskCAP";"2200pf";"1"
"C3";"DiskCAP";"100nf";"1"
"C4";"DiskCAP";"2200pf";"1"
"C5";"DiskCAP";"2200pf";"1"
"C6";"DiskCAP";"100nf";"1"
"C7";"DiskCAP";"";"1"
"C8";"DiskCAP";"";"1"
"CX1";"Cap Cx15mm";"";"1"
"CX2";"Cap Cx15mm";"";"1"
"CY1";"CapY_75mm";"";"1"
"CY2";"CapY_75mm";"";"1"
"D1";"RECTIFIER";"";"1"
"D2";"1N4001";"";"1"
"D3";"1N4001";"";"1"
"D4";"3-Color LED";" Tri-Color";"1"
"H1";"";"LineOut-1";"1"
"H2";"HeaderPower";"LineOut-2";"1"
"H3";"HeaderPower";"Phase";"1"
"H4";"FOR CON";"EarOUT";"1"
"H5";"HeaderPower";"NutOut";"1"
"H6";"HeaderPower";"";"1"
"H7";"HeaderPower";"Earth";"1"
"J1";"Header6x1_254";"ISP";"1"
"J2";"DIP SWD";"Header254mm_1x5";"1"
"Q1";"BC337-40";"";"1"
"Q2";"BC337-40";"";"1"
"R1";"RES_1";"22K";"1"
"R2";"RES_1";"2K2";"1"
"R3";"RES_1";"10K";"1"
"R4";"RES_1";"2K2";"1"
"R5";"RES_1";"10K";"1"
"R6";"RES_1";"22K";"1"
"R7";"RES_1";"22K";"1"
"R8";"RES_1";"1M";"1"
"R9";"RES_1";"1M";"1"
"R10";"RES_1";"2K2";"1"
"R11";"RES_1";"10K";"1"
"R12";"RES_1";"2K2";"1"
"R13";"RES_1";"1M";"1"
"R14";"RES_1";"1M";"1"
"R15";"RES_1";"22K";"1"
"R16";"RES_1";"10K";"1"
"R17";"RES_1";"1K";"1"
"R18";"RES_1";"1K";"1"
"R19";"RES_1";"1M";"1"
"R20";"RES_1";"100K";"1"
"R21";"RES_1";"1K";"1"
"R22";"RES_1";"1K";"1"
"R23";"RES_1";"1K";"1"
"R24";"RES_1";"1M";"1"
"R25";"RES_1";"1K";"1"
"R26";"RES_1";"1K";"1"
"R27";"RES_1";"1K";"1"
"R28";"RES_1";"1K";"1"
"R29";"RES_1";"1K";"1"
"R30";"RES_1";"";"1"
"R31";"RES_1";"";"1"
"R32";"RES_1";"";"1"
"S1";"B3F-1000";"";"1"
"U1";"Relay_OEN62-12-AE";"";"1"
"U2";"Relay_OEN62-12-AE";"";"1"
"U3";"LM358N";"";"1"
"U4";"CT-PCB-1";"";"1"
"U5";"RT8122-12-5M0";"";"1"
"U6";"FOR CON";"";"1"
"U7";"LM7812CT";"";"1"
"U8";"7805";"";"1"
"U9";"cap_1000uf";"470uf";"1"
"U10";"cap_1000uf";"470uf";"1"
"U11";"cap_1000uf";"470uf";"1"
"U12";"FOR CON";"";"1"
"U13";"MCT2";"";"1"
"U14";"MCT2";"";"1"
"V1";"varistor MOV";"";"1"
"Y1";"ECS-110-S-1";"";"1"
"";"";"";"77"
